id,nickname,birth_date,position,is_alive,boss_id
147,explicabo,2000-02-16,Soldier,false,108
148,qui_quas_quam,1994-11-02,Manager,false,124
149,non_voluptatibus,1998-11-20,Soldier,true,81
150,yFisher,1995-10-29,Manager,true,66
151,5Murphy,1991-03-21,Medical,true,16
152,JoshuaGardner,1985-11-24,Support,true,31
153,9Fuller,1983-08-07,Soldier,true,7
154,iusto,1995-02-20,Soldier,true,26
155,CraigStewart,1993-06-08,Soldier,true,47
156,RachelLewis,2001-08-27,Soldier,true,79
157,aut_et,1992-02-09,Soldier,true,5
158,nLee,1999-07-11,Manager,false,90
159,LarryCruz,1998-05-24,Soldier,false,128
160,LillianLopez,1996-07-20,Soldier,false,84
161,consequatur_adipisci_illum,1989-09-30,Soldier,true,118
162,rVasquez,1982-07-27,Soldier,true,42
163,odit_dolores,1996-09-07,Manager,true,107
164,gRobertson,1980-05-09,Soldier,true,31
165,jFreeman,1999-12-01,Manager,true,141
166,AmandaRoberts,1987-03-09,Soldier,true,125
167,RobertHicks,1999-04-16,Support,true,20
168,PeterMiller,1986-04-05,Soldier,false,54
169,hic_non,1999-11-15,Manager,true,14
170,gMyers,1996-04-09,Manager,true,124
171,RosePerkins,1991-02-03,Medical,true,36
172,bJohnson,1983-08-28,Manager,true,39
173,quod_assumenda_amet,1987-09-09,Soldier,true,136
174,MaryNichols,1982-02-18,Soldier,true,164
175,tThomas,1983-07-08,Manager,false,174
176,GeorgeGilbert,1993-12-03,Soldier,false,76
177,StephenBurns,1999-04-28,Manager,true,118
178,uPalmer,1994-09-07,Manager,true,68
179,RaymondKennedy,1982-01-01,Manager,true,67
180,3Greene,1993-01-01,Support,true,176
181,fEdwards,1998-03-15,Support,true,97
182,AndreaReyes,1988-01-13,Soldier,true,8
183,dWright,1980-04-07,Manager,true,31
184,CarolGraham,1982-04-06,Support,false,13
185,quasi_sit_animi,1986-01-29,Medical,true,57
186,voluptate,2000-10-18,Soldier,false,1
187,dignissimos_occaecati,1983-08-20,Soldier,true,133
188,rSimpson,1982-11-06,Soldier,true,73
189,vShaw,1993-01-07,Manager,true,88
190,KevinStevens,1990-01-23,Soldier,false,24
191,eos_quo,1993-01-26,Medical,true,154
192,sit,2001-11-18,Manager,true,179
193,ea_sequi,1998-04-19,Medical,true,16
194,cum_vero_est,1994-04-16,Manager,true,50
195,5Rogers,1993-07-15,Soldier,true,180
196,qMorgan,1995-09-03,Support,true,130
197,KeithWoods,1995-01-01,Soldier,true,137
198,1Ramos,1999-11-13,Medical,true,39
199,RichardLopez,1999-11-28,Manager,true,152
200,AnnieJohnston,1995-11-04,Manager,true,20
201,AntonioFerguson,1989-08-14,Medical,true,180
202,cCastillo,1994-07-25,Manager,false,195
203,cReyes,1987-09-06,Medical,true,23
204,4Cunningham,1983-11-29,Soldier,true,158
205,placeat,1984-07-22,Manager,true,12
206,TimothyCunningham,1991-07-15,Support,false,188
207,temporibus,1992-04-29,Manager,true,184
208,dolores_repellat,1988-04-29,Support,false,151
209,jYoung,1988-06-29,Soldier,true,202
210,BobbyPrice,1995-12-07,Manager,true,89
211,quia_mollitia_illo,1997-11-13,Soldier,false,100
212,sint,1980-05-09,Manager,true,33
213,WayneFreeman,1984-01-21,Manager,false,64
214,EdwardKelly,1993-03-16,Soldier,true,70
215,zWarren,1989-05-25,Medical,true,1
216,WilliamWright,1982-03-02,Medical,true,175
217,enim,1990-12-10,Soldier,true,164
218,doloremque_quia_nobis,2000-12-22,Soldier,true,189
219,hLong,1981-04-15,Soldier,true,57
220,impedit_sed_nostrum,1996-05-08,Medical,true,119
221,dolore,1995-12-31,Manager,true,16
222,dGriffin,2001-01-24,Soldier,true,172
223,AshleyPowell,1983-06-14,Support,true,3
224,ea_aspernatur_odit,1985-02-24,Medical,true,154
225,recusandae_impedit_eligendi,1982-06-07,Medical,true,109
226,rPierce,1983-11-07,Medical,true,3
227,aMoore,1996-02-10,Soldier,true,82
228,JudyOrtiz,2000-02-16,Soldier,true,89
229,GregoryGomez,1992-07-11,Soldier,true,144
230,neque,1982-06-12,Manager,true,31
231,9Sims,2000-04-28,Manager,true,174
232,dolorum,1988-03-28,Manager,true,193
233,ab_id,1999-08-19,Support,true,159
234,JessicaJames,1988-10-16,Manager,false,65
235,StephanieStephens,1981-07-05,Soldier,false,65
236,BonnieReynolds,2001-10-22,Support,true,166
237,veritatis,1986-05-27,Soldier,true,214
238,cDean,2000-03-05,Soldier,true,82
239,id_eos,1987-04-28,Manager,true,210
240,unde_quaerat_occaecati,1998-02-03,Medical,true,152
241,PhilipDiaz,1985-02-07,Manager,false,122
242,dolor,1982-06-08,Manager,false,3
243,mollitia_rerum,1985-03-14,Medical,true,117
244,KathyCole,1998-01-10,Soldier,true,35
245,id_cumque,1989-07-08,Manager,true,237
246,kGrant,1989-10-07,Soldier,true,18
247,8Henry,1986-10-14,Soldier,true,12
248,inventore_sequi_accusamus,1980-05-12,Soldier,false,39
249,pYoung,1993-04-05,Manager,true,68
250,NormaFoster,1982-11-03,Soldier,true,7
251,yWatkins,1992-05-21,Support,false,52
252,RalphReyes,1995-02-02,Soldier,true,68
253,NancyWilliamson,1987-03-09,Soldier,true,80
254,uGeorge,1987-09-20,Soldier,true,100
255,jGriffin,1988-04-30,Soldier,true,118
256,vButler,1994-08-31,Soldier,true,230
257,rJohnston,1994-11-08,Soldier,false,42
258,JessicaBurke,1994-07-29,Soldier,true,111
259,fuga,1990-02-26,Support,true,106
260,zRose,1984-11-21,Soldier,true,62
261,ElizabethBrooks,1994-02-11,Soldier,true,133
262,4Ramos,1998-10-19,Soldier,true,225
263,FredBailey,1995-11-05,Soldier,true,211
264,DanielHenderson,1994-09-03,Soldier,true,41
265,lMurray,1990-04-15,Manager,true,244
266,ut_et,1988-12-01,Soldier,true,78
267,amet_eos,1989-06-01,Soldier,false,235
268,JonathanAndrews,1992-06-26,Soldier,true,210
269,fWard,1997-01-04,Manager,true,203
270,FrancesThomas,1992-04-20,Soldier,true,159
271,CatherineReynolds,1982-12-06,Manager,false,205
272,laudantium,1989-07-21,Soldier,true,77
273,repudiandae_rem_rerum,1986-02-06,Support,false,82
274,JackJordan,1983-01-25,Soldier,true,178
275,FredPerry,1983-05-01,Soldier,true,164
276,repudiandae_iste,2001-05-31,Soldier,true,246
277,mLane,1992-06-24,Soldier,true,58
278,yPerkins,1984-08-06,Soldier,true,129
279,qMcdonald,1992-01-31,Support,true,143
280,ut_laudantium_et,1980-05-19,Soldier,true,33
281,hMartinez,1980-03-19,Soldier,false,266
282,minima,1980-08-24,Support,true,198
283,quis_ducimus_sunt,1981-09-02,Medical,true,69
284,9Perez,1985-10-21,Soldier,true,161
285,DorothyRodriguez,1986-10-12,Soldier,true,23
286,laudantium_atque,1981-12-10,Soldier,true,122
287,RandyGreen,1984-06-06,Soldier,true,29
288,pParker,1983-03-29,Medical,true,159
289,7Stewart,1981-02-25,Soldier,true,73
290,gBailey,1986-03-31,Soldier,true,157
291,AaronClark,1980-01-06,Manager,true,244
292,ErnestGarrett,1980-12-12,Manager,true,21
293,qui_aut,1991-05-05,Soldier,true,227
294,kPowell,2001-07-01,Soldier,true,280
295,eum_eos_quae,1997-10-06,Manager,false,241
296,autem,1985-10-18,Support,true,44
297,KarenCrawford,1993-01-01,Soldier,false,272
298,recusandae,1990-01-15,Soldier,true,104
299,pCrawford,1988-04-27,Support,true,214
300,et_officiis_quasi,1989-01-13,Soldier,true,243
301,AlbertFranklin,1983-12-01,Soldier,true,273
302,corporis_ratione_nam,1994-10-07,Manager,true,209
303,DeniseRobertson,1985-04-09,Soldier,false,6
304,BarbaraSchmidt,1982-01-19,Manager,true,180
305,nWoods,1987-03-11,Soldier,false,40
306,mGomez,1994-08-17,Soldier,true,150
307,PhillipBrown,1989-07-11,Soldier,true,242
308,EarlHill,2001-06-22,Soldier,true,58
309,voluptas_repudiandae,1988-10-16,Soldier,true,60
310,EdwardOlson,1980-08-08,Soldier,true,141
311,BettyMorris,1985-06-13,Soldier,true,75
312,0Torres,1998-11-06,Medical,true,24
313,7Medina,1980-07-10,Medical,true,262
314,laudantium_corrupti_et,1982-04-26,Manager,true,64
315,et,1996-11-29,Soldier,true,63
316,qui,1990-12-17,Medical,true,167
317,hCole,1981-11-30,Soldier,false,301
318,JesseMendoza,1982-03-10,Manager,true,87
319,hWarren,1997-02-22,Soldier,true,42
320,6Bell,1985-06-08,Manager,false,153
321,perferendis_ipsa,1983-10-30,Support,true,203
322,tSimpson,1996-10-18,Soldier,false,197
323,perspiciatis_impedit_dolores,1988-11-30,Soldier,true,260
324,NicoleDunn,1999-06-11,Soldier,true,198
325,3Riley,1990-10-03,Manager,true,54
326,nWebb,1985-10-24,Manager,true,8
327,RuthHenderson,1985-08-30,Soldier,true,192
328,magni,1990-11-15,Manager,true,286
329,HeatherSnyder,1993-07-23,Soldier,true,123
330,JackCruz,1996-01-26,Soldier,true,156
331,esse,1999-07-28,Soldier,true,99
332,xSimmons,1997-11-29,Soldier,true,328
333,2Olson,1983-02-01,Soldier,true,255
334,JackMcdonald,1992-01-03,Support,true,291
335,zReynolds,1980-08-03,Soldier,true,137
336,SusanHenderson,1989-10-30,Soldier,true,209
337,iure,1986-10-23,Manager,true,208
338,aWelch,1996-04-16,Manager,true,201
339,nulla,1990-09-13,Manager,true,174
340,maxime_dolores_hic,1994-05-22,Manager,true,85
341,soluta_perspiciatis_quis,1999-05-25,Support,true,140
342,RobinRussell,1991-06-04,Support,true,43
343,qui_est,1982-06-15,Manager,false,48
344,GeorgeKing,1983-10-18,Manager,true,118
345,wRiley,1995-08-28,Soldier,false,213
346,jNichols,1999-01-16,Soldier,true,46
347,repellendus_non,1997-07-15,Soldier,true,213
348,nostrum_est,1983-01-03,Medical,true,346
349,HaroldJohnson,1990-04-18,Manager,true,21
350,8Mendoza,1999-06-11,Soldier,true,160
351,maiores_eos_quam,1994-10-11,Manager,true,68
352,sMendoza,1994-11-12,Medical,true,29
353,aspernatur_quo,1998-01-12,Soldier,true,106
354,BarbaraFord,1985-02-24,Soldier,false,325
355,sed_qui,1987-10-19,Soldier,true,264
356,ArthurLynch,1992-06-06,Soldier,true,261
357,yCarter,1993-03-01,Soldier,true,184
358,sunt_officia_qui,2001-05-22,Soldier,true,36
359,voluptatem_asperiores,1984-11-19,Soldier,true,285
360,FrancesMorgan,1981-09-28,Soldier,true,33
361,2Foster,1984-08-30,Soldier,true,259
362,non_qui,2000-11-26,Manager,true,81
363,PamelaPerez,1992-04-05,Soldier,true,152
364,tempore_expedita,1984-03-13,Medical,true,327
365,tPrice,1986-07-04,Soldier,false,351
366,xShaw,1982-07-16,Manager,true,146
367,repudiandae_corporis_quidem,1991-06-27,Manager,true,101
368,8Stewart,1999-10-05,Manager,false,194
369,quia,1992-03-04,Manager,true,263
370,dMason,1986-07-07,Support,false,280
371,StephenMedina,1983-02-07,Support,true,235
372,omnis_repellendus_qui,1995-05-19,Manager,true,26
373,et_quisquam_et,1987-06-13,Support,true,68
374,dignissimos,1993-11-08,Soldier,true,213
375,autem_tempore_architecto,1988-03-30,Soldier,true,218
376,itaque,1999-11-16,Manager,true,61
377,zLane,1993-12-16,Soldier,true,345
378,MartinKennedy,1987-12-08,Manager,true,269
379,2Murphy,2000-09-10,Manager,false,1
380,WillieBerry,1986-03-03,Support,true,309
381,tWells,1998-05-24,Support,true,62
382,EricDean,2000-05-03,Soldier,true,63
383,1Freeman,1987-04-24,Soldier,true,233
384,JeremyPayne,1983-02-01,Soldier,false,178
385,2Reynolds,1996-04-07,Support,true,74
386,et_atque,1987-09-15,Medical,true,157
387,dolor_sit_a,1991-09-18,Soldier,true,274
388,8Stone,1988-06-19,Manager,true,334
389,nulla_iure,1992-05-05,Manager,true,22
390,officia_facilis_et,1993-10-18,Manager,false,226
391,HowardMorrison,2001-05-15,Soldier,true,18
392,laboriosam,1993-10-27,Manager,false,225
393,eBryant,1981-10-04,Support,true,196
394,RoyBishop,1983-05-11,Soldier,true,254
395,uFuller,1991-05-05,Medical,true,145
396,veniam,1982-07-02,Support,true,255
397,kHamilton,1987-04-10,Manager,true,111
398,KathleenRivera,1980-06-11,Soldier,false,345
399,recusandae_eos_culpa,1998-10-05,Soldier,true,138
400,quaerat_dolores_animi,1994-01-20,Soldier,false,334
401,KathyRichards,1982-04-13,Medical,true,6
402,SusanGraham,1988-05-08,Soldier,true,82
403,yMartin,1999-04-08,Soldier,true,291
404,lCruz,1980-09-03,Manager,true,128
405,fWilliams,1997-12-27,Manager,true,397
406,HaroldStone,1981-08-16,Medical,true,188
407,JimmyMatthews,1985-10-16,Support,true,128
408,StephenMarshall,1980-05-02,Soldier,true,274
409,AmyMcdonald,1988-03-11,Manager,true,181
410,voluptate_odit,1984-08-08,Soldier,false,226
411,totam_ut_consectetur,1997-09-06,Manager,true,123
412,sed_incidunt_ut,1981-11-14,Soldier,true,58
413,NormaTucker,1996-02-18,Manager,true,83
414,JanetMorales,2001-06-21,Soldier,true,404
415,AmandaAlexander,1993-01-03,Soldier,true,288
416,nihil_sed_molestiae,1980-04-07,Manager,true,367
417,EdwardHunt,1987-05-24,Soldier,true,184
418,fStevens,1997-01-02,Manager,true,213
419,quia_voluptates_deleniti,1982-01-17,Manager,true,93
420,pJenkins,1983-03-02,Soldier,true,129
421,1Montgomery,1996-07-21,Soldier,true,336
422,AnthonyWest,1998-09-11,Medical,true,417
423,libero,1994-02-28,Soldier,true,104
424,sequi_repellat,1998-05-31,Manager,true,197
425,quis_dolore_possimus,1989-06-09,Manager,true,218
426,DebraHudson,1995-04-01,Soldier,true,230
427,3Marshall,1980-02-11,Manager,true,153
428,error_atque,1995-04-29,Manager,true,12
429,MarilynHolmes,1998-10-16,Manager,false,422
430,6Dean,1980-08-19,Soldier,true,300
431,officiis_qui_rem,1998-04-28,Soldier,true,7
432,GeorgeMccoy,1995-02-04,Soldier,true,76
433,ut_error_ea,1992-06-01,Manager,true,273
434,JoshuaWheeler,1987-04-02,Soldier,false,156
435,in_voluptatem_nobis,2001-09-09,Medical,true,76
436,quisquam,1981-08-10,Support,true,123
437,incidunt,1985-08-15,Medical,false,92
438,fHart,2000-01-03,Soldier,false,309
439,nihil,1998-08-17,Soldier,true,152
440,omnis_accusantium,1982-11-06,Manager,true,388
441,culpa_nobis_voluptatem,1987-02-24,Manager,true,418
442,qTorres,1994-12-22,Support,true,77
443,kDay,1986-06-01,Manager,true,386
444,RonaldWest,1988-01-20,Manager,true,133
445,quia_et,1990-10-25,Soldier,true,308
446,zPorter,1984-01-06,Support,true,392
447,esse_ipsa,1980-02-15,Medical,true,221
448,cKelly,1986-08-22,Manager,true,343
449,rRichards,1999-01-31,Manager,true,274
450,RonaldSims,1992-06-29,Soldier,false,128
451,et_suscipit_consequatur,1986-12-28,Manager,true,394
452,rRamirez,1991-03-02,Support,true,201
453,JeffreyHanson,1990-12-06,Soldier,true,79
454,est_et_dolores,1981-01-02,Manager,true,93
455,uOwens,1994-05-28,Soldier,true,312
456,yRussell,1993-07-10,Manager,true,416
457,9Miller,1999-04-01,Soldier,true,125
458,BenjaminFoster,1998-08-15,Soldier,true,375
459,ScottStewart,1995-04-01,Manager,true,8
460,AmandaHernandez,1983-07-20,Medical,true,288
461,natus,2000-08-02,Manager,true,159
462,gBoyd,2000-01-04,Soldier,true,23
463,animi,2001-11-09,Soldier,true,27
464,KeithRoss,1992-07-26,Manager,true,315
465,unde,1994-12-24,Manager,true,226
466,CynthiaSchmidt,1987-07-09,Medical,true,206
467,ClarenceElliott,1996-07-13,Support,true,107
468,ClarenceWagner,1997-01-17,Soldier,true,171
469,pLawrence,1996-12-27,Manager,false,189
470,RogerAlvarez,1985-03-13,Manager,true,97
471,yCarr,1997-01-20,Soldier,true,374
472,aut_alias,1981-11-23,Soldier,true,445
473,reiciendis_delectus,1994-11-25,Manager,false,316
474,dolore_enim_voluptatem,1981-08-25,Soldier,true,299
475,zFord,1988-06-08,Medical,true,410
476,ShawnMason,2001-04-08,Manager,true,118
477,7Rivera,1990-05-22,Soldier,false,460
478,dolore_magni_hic,1994-12-29,Medical,true,47
479,KatherineRyan,1984-11-03,Manager,false,439
480,reprehenderit_dolores_magnam,1996-10-06,Soldier,true,287
481,DouglasBryant,1982-02-25,Manager,true,123
482,JudithLawson,1997-08-05,Manager,true,305
483,4Mitchell,1991-12-12,Manager,true,224
484,MaryFoster,1985-02-14,Manager,true,483
485,9Fields,2000-02-13,Manager,false,56
486,vReyes,2000-08-09,Soldier,true,134
487,IreneGarcia,1994-01-18,Medical,true,192
488,LawrenceMeyer,1992-10-22,Medical,true,180
489,JoeShaw,1994-02-04,Manager,false,402
490,quod_amet,1981-08-13,Soldier,true,450
491,bAllen,1992-01-11,Soldier,true,340
492,eligendi_ex_praesentium,1989-06-03,Manager,true,366
493,mPerkins,1992-03-06,Medical,true,163
494,aliquid,1984-07-26,Soldier,false,371
495,JamesAdams,1980-04-13,Soldier,true,342
496,BrianMoore,2000-09-30,Manager,true,168
497,JoshuaRichards,1985-12-08,Manager,true,12
498,uWatkins,1980-06-06,Support,true,251
499,BillyArmstrong,1981-01-18,Soldier,true,45
500,JohnHayes,1993-07-12,Manager,true,190
501,voluptatem_non,1986-12-31,Soldier,true,305
502,StephanieCrawford,1990-07-02,Manager,true,265
503,qBowman,2000-07-25,Manager,true,53
504,9Watkins,1998-07-14,Soldier,true,386
505,gMorrison,1982-01-13,Soldier,true,55
506,HelenWilson,1990-11-30,Manager,true,237
507,5Bowman,1998-11-23,Soldier,true,467
508,nAustin,1987-03-23,Support,true,109
509,dicta_autem,1992-12-21,Soldier,true,109
510,rDunn,1988-06-26,Soldier,true,28
511,xBowman,1986-07-14,Soldier,true,61
512,CherylPayne,1982-06-19,Manager,true,127
513,ipsam_architecto_doloremque,1982-06-14,Manager,false,254
514,GeraldWright,1982-10-12,Soldier,true,418
515,DeniseAllen,1982-03-17,Soldier,false,164
516,JosephMoore,1988-12-24,Soldier,true,301
517,gWebb,2000-05-02,Support,true,509
518,accusamus_fugiat_et,1983-11-13,Manager,false,306
519,NicoleCruz,1999-12-30,Soldier,true,251
520,TinaBryant,1996-05-20,Manager,true,296
521,2Chavez,1986-07-01,Soldier,false,12
522,dolorem_sunt,1998-03-17,Manager,true,84
523,fScott,1998-03-04,Soldier,true,177
524,6Austin,1985-09-09,Soldier,true,244
525,ChristopherDiaz,1998-01-10,Soldier,true,390
526,hStephens,1986-06-29,Soldier,true,262
527,zDay,1989-06-11,Soldier,true,419
528,incidunt_omnis_rem,1984-10-12,Medical,true,348
529,PatriciaMason,1992-05-08,Medical,true,213
530,mWilson,1990-09-28,Manager,true,479
531,LillianArmstrong,1993-05-27,Soldier,true,436
532,MildredHarris,1990-11-05,Manager,false,15
533,fGonzales,1986-01-02,Manager,true,177
534,5Nichols,1982-02-04,Manager,true,516
535,JeanDavis,1983-09-24,Manager,true,519
536,rPorter,1997-06-10,Soldier,true,322
537,ToddBarnes,1994-04-16,Support,false,122
538,explicabo_ducimus_et,1981-02-19,Soldier,true,44
539,accusantium_voluptatem,1984-01-04,Manager,true,491
540,pStephens,1993-02-01,Support,true,74
541,aOwens,1987-07-17,Soldier,true,40
542,BrendaWard,1993-06-19,Manager,true,496
543,NormaWallace,2001-07-16,Support,true,283
544,sint_et,1998-06-09,Manager,true,319
545,SamuelGeorge,1980-05-05,Support,true,17
546,BonnieAnderson,2000-09-17,Support,true,288
547,CarlosWhite,1984-04-03,Manager,true,468
548,incidunt_recusandae,2000-06-11,Soldier,true,273
549,LindaHarper,1998-10-16,Soldier,true,479
550,iCole,1987-05-27,Soldier,true,482
551,hCunningham,1988-06-21,Soldier,true,382
552,rerum_aut,1995-08-20,Manager,false,425
553,hHall,1997-02-27,Manager,true,548
554,zWest,1992-07-05,Soldier,false,310
555,yBishop,2001-08-11,Soldier,true,22
556,exercitationem_officiis_magni,1985-01-14,Manager,true,83
557,exercitationem_enim_amet,1996-04-19,Soldier,true,422
558,DouglasWelch,1981-11-20,Soldier,true,354
559,a_expedita,1989-03-04,Soldier,true,218
560,ArthurMyers,2000-09-04,Soldier,false,558
561,5Morales,1981-03-16,Soldier,true,287
562,PhyllisFuller,1995-03-28,Soldier,false,309
563,AnnJacobs,1996-07-25,Manager,true,385
564,odit,1997-01-17,Soldier,true,481
565,pRiley,1995-08-16,Soldier,true,374
566,similique_voluptatem_qui,1986-07-20,Soldier,true,467
567,kSpencer,1996-10-16,Medical,true,189
568,hPowell,1998-10-16,Soldier,true,448
569,tempora_libero_ut,1999-11-02,Manager,true,505
570,corporis_asperiores_voluptate,1995-05-15,Support,true,543
